Category,Resume
Java Developer,"Java developer with 5+ years of experience in Spring Boot and microservices. Built enterprise applications using Spring MVC, Hibernate, and JPA. Proficient in Apache Kafka, Redis, and Oracle databases. Experience with Docker, Kubernetes, and CI/CD pipelines using Jenkins. Experience working in cross-functional distributed teams."
HR,"HR professional with experience in talent acquisition, employee engagement, and performance management. Strong communication and interpersonal skills. Proficient in HRIS systems, Excel, and data analysis. Experience with labor laws, benefits administration, and organizational development. Passionate about continuous learning and professional development."
SAP Developer,"SAP technical consultant with expertise in ABAP programming, SAP HANA, and module configuration. Experience in SAP implementation projects, data migration, and integration. Strong knowledge of business processes and ERP workflows. Experience with version control (Git), code reviews, and documentation."
Testing,"Software testing professional with expertise in manual and automated testing. Experience in test planning, test case design, and defect management. Proficient in Selenium, JIRA, and SQL. Knowledge of Agile testing practices and CI/CD integration. Passionate about continuous learning and professional development."
Electrical Engineering,"Electrical engineer specializing in power systems, control engineering, and embedded systems design. Proficient in MATLAB, Simulink, and PLC programming. Experience with circuit design, PCB layout, and electrical installations. Excellent problem-solving abilities and attention to detail."
Mechanical Engineer,"Mechanical engineer with expertise in CAD design using SolidWorks and AutoCAD. Experience in product development, FEA analysis, and manufacturing processes. Proficient in MATLAB, C++, and project management. Strong problem-solving and analytical skills. Background in research methodology and academic publishing."
Civil Engineer,"Civil engineer with expertise in structural design, project management, and construction supervision. Proficient in AutoCAD, STAAD Pro, and MS Project. Experience in highway design, water resources, and environmental compliance. Background in research methodology and academic publishing."
Full Stack Developer,"Full stack developer with expertise in React, Node.js, and PostgreSQL. Built scalable web applications with modern JavaScript stack. Experience with Docker, AWS, and CI/CD pipelines. Strong understanding of both frontend and backend architecture."
Automation Testing,"QA automation engineer with expertise in Selenium, Cypress, and Appium. Built test automation frameworks using Java and Python. Experience with CI/CD integration, API testing, and performance testing. Proficient in BDD, JUnit, and TestNG. Excellent problem-solving abilities and attention to detail."
Database Administrator,"Database administrator with expertise in PostgreSQL, MySQL, and Oracle. Experience in database optimization, backup and recovery, and high availability configurations. Proficient in SQL, Python scripting, and cloud database services. Passionate about continuous learning and professional development."
ETL Developer,"ETL developer with expertise in building data integration pipelines using Informatica and Apache Spark. Experience with data warehousing, data modeling, and cloud migration. Proficient in SQL, Python, and Airflow for workflow orchestration. Experience with version control (Git), code reviews, and documentation."
